Team1,Team2,Time,Points1,Points2,ServeEff1,ServeEff2,PosPercent1,PosPercent2,KillPercent1,KillPercent2,EffPercent1,EffPercent2,Score1,Score2
Barkom Każany Lwów,Projekt Warszawa,"28.12.2022, 20:30",40,55,-4%,-6%,40%,41%,44%,57%,22%,47%,0,3
Barkom Każany Lwów,GKS Katowice,"09.01.2023, 17:30",63,49,-6%,-7%,39%,38%,54%,46%,46%,29%,3,0
Projekt Warszawa,Ślepsk Malow Suwałki,"07.01.2023, 20:30",67,36,-13%,-5%,45%,43%,63%,42%,53%,24%,3,0
Asseco Resovia Rzeszów,Cuprum Lubin,"08.01.2023, 20:30",70,77,-3%,-23%,38%,44%,44%,53%,20%,34%,2,3
Trefl Gdańsk,PGE Skra Bełchatów,"07.01.2023, 17:30",67,56,2%,-13%,45%,32%,54%,45%,43%,24%,3,1
PSG Stal Nysa,Cerrad Enea Czarni Radom,"08.01.2023, 17:30",69,60,-19%,-9%,33%,47%,56%,48%,43%,32%,3,1
BBTS Bielsko-Biała,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"06.01.2023, 20:30",47,54,-10%,-4%,39%,50%,38%,46%,20%,30%,0,3
Aluron CMC Warta Zawiercie,Jastrzębski Węgiel,"06.01.2023, 17:30",73,75,-12%,-17%,55%,36%,48%,51%,36%,32%,3,2
LUK  Lublin,Indykpol AZS Olsztyn,"07.01.2023, 14:45",69,65,-2%,-14%,49%,47%,48%,45%,32%,30%,3,1
GKS Katowice,LUK  Lublin,"13.01.2023, 20:30",43,54,-14%,-2%,43%,46%,44%,56%,27%,43%,0,3
Indykpol AZS Olsztyn,Aluron CMC Warta Zawiercie,"14.01.2023, 14:45",62,44,-5%,-4%,40%,43%,54%,41%,39%,25%,3,0
Jastrzębski Węgiel,BBTS Bielsko-Biała,"15.01.2023, 20:30",49,32,-8%,-15%,56%,37%,50%,36%,33%,20%,3,0
Grupa Azoty ZAKSA Kędzierzyn-Koźle,PSG Stal Nysa,"16.01.2023, 20:30",51,46,6%,-19%,52%,38%,50%,42%,33%,31%,3,0
Cerrad Enea Czarni Radom,Trefl Gdańsk,"15.01.2023, 17:30",67,67,-15%,-9%,46%,46%,48%,50%,33%,32%,1,3
Asseco Resovia Rzeszów,PGE Skra Bełchatów,"15.01.2023, 14:45",53,35,-10%,-20%,28%,30%,65%,48%,60%,25%,3,0
Cuprum Lubin,Projekt Warszawa,"16.01.2023, 17:30",41,54,-6%,1%,43%,37%,46%,54%,25%,41%,0,3
Ślepsk Malow Suwałki,Barkom Każany Lwów,"14.01.2023, 20:30",53,39,-1%,-12%,55%,39%,60%,45%,46%,22%,3,0
Ślepsk Malow Suwałki,GKS Katowice,"22.01.2023, 17:30",48,36,-8%,-27%,52%,48%,48%,41%,40%,24%,3,0
Barkom Każany Lwów,Cuprum Lubin,"21.01.2023, 17:30",77,68,-7%,-14%,46%,38%,43%,42%,24%,26%,3,1
Projekt Warszawa,PGE Skra Bełchatów,"22.01.2023, 14:45",78,87,-6%,-12%,42%,48%,51%,53%,37%,37%,3,2
Asseco Resovia Rzeszów,Cerrad Enea Czarni Radom,"20.01.2023, 20:30",46,43,-12%,-27%,44%,45%,50%,45%,34%,25%,3,0
Trefl Gdańsk,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"19.01.2023, 17:30",78,59,-2%,-8%,56%,32%,49%,53%,33%,39%,3,1
Jastrzębski Węgiel,PSG Stal Nysa,"22.01.2023, 20:30",72,58,-10%,-19%,50%,37%,50%,44%,36%,28%,3,1
BBTS Bielsko-Biała,Indykpol AZS Olsztyn,"20.01.2023, 17:30",56,68,-9%,-6%,48%,47%,44%,51%,22%,42%,1,3
Aluron CMC Warta Zawiercie,LUK  Lublin,"21.01.2023, 14:45",69,57,0%,-7%,40%,40%,56%,53%,40%,34%,3,1
GKS Katowice,Aluron CMC Warta Zawiercie,"28.01.2023, 20:30",59,50,1%,-10%,36%,43%,54%,52%,45%,38%,3,0
LUK  Lublin,BBTS Bielsko-Biała,"29.01.2023, 14:45",64,49,5%,-18%,45%,28%,45%,36%,26%,14%,3,1
Indykpol AZS Olsztyn,PSG Stal Nysa,"27.01.2023, 17:30",76,59,-6%,-12%,52%,40%,54%,51%,45%,38%,3,1
Jastrzębski Węgiel,Trefl Gdańsk,"28.01.2023, 17:30",57,50,-3%,-27%,50%,42%,47%,43%,31%,29%,3,0
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Asseco Resovia Rzeszów,"28.01.2023, 14:45",61,62,-4%,-17%,38%,38%,47%,48%,29%,31%,3,1
Cerrad Enea Czarni Radom,Projekt Warszawa,"30.01.2023, 20:30",35,53,-22%,-11%,50%,61%,47%,75%,23%,69%,0,3
PGE Skra Bełchatów,Barkom Każany Lwów,"29.01.2023, 20:30",54,53,-10%,-1%,42%,26%,51%,53%,32%,45%,0,3
Cuprum Lubin,Ślepsk Malow Suwałki,"30.01.2023, 17:30",74,71,-10%,-11%,58%,41%,53%,51%,36%,35%,3,2
Cuprum Lubin,GKS Katowice,"06.02.2023, 20:30",41,51,-19%,0%,55%,48%,46%,55%,20%,50%,0,3
Ślepsk Malow Suwałki,PGE Skra Bełchatów,"05.02.2023, 14:45",56,54,-1%,-8%,50%,37%,58%,58%,49%,44%,3,0
Barkom Każany Lwów,Cerrad Enea Czarni Radom,"05.02.2023, 17:30",40,49,-16%,-4%,32%,40%,43%,45%,19%,33%,0,3
Projekt Warszawa,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"04.02.2023, 14:45",70,50,-13%,-2%,36%,45%,47%,34%,30%,6%,3,1
Asseco Resovia Rzeszów,Jastrzębski Węgiel,"22.03.2023, 17:30",68,67,-16%,-13%,41%,48%,51%,54%,38%,42%,2,3
Trefl Gdańsk,Indykpol AZS Olsztyn,"24.02.2023, 17:30",49,50,-13%,-15%,48%,38%,50%,50%,38%,32%,3,0
PSG Stal Nysa,LUK  Lublin,"04.02.2023, 17:30",56,47,0%,-11%,42%,36%,55%,50%,46%,34%,3,0
BBTS Bielsko-Biała,Aluron CMC Warta Zawiercie,"03.02.2023, 17:30",64,81,-6%,1%,29%,52%,45%,47%,31%,34%,2,3
GKS Katowice,BBTS Bielsko-Biała,"12.02.2023, 20:30",64,74,-19%,-9%,43%,61%,39%,42%,20%,22%,2,3
Aluron CMC Warta Zawiercie,PSG Stal Nysa,"12.02.2023, 14:45",51,30,-10%,-20%,59%,28%,65%,38%,54%,11%,3,0
LUK  Lublin,Trefl Gdańsk,"11.02.2023, 20:30",41,57,-12%,1%,39%,45%,41%,57%,26%,49%,0,3
Indykpol AZS Olsztyn,Asseco Resovia Rzeszów,"09.02.2023, 17:30",59,77,-5%,-11%,45%,40%,41%,53%,20%,39%,1,3
Jastrzębski Węgiel,Projekt Warszawa,"11.02.2023, 14:45",66,68,-6%,-6%,41%,39%,52%,60%,38%,50%,1,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Barkom Każany Lwów,"11.02.2023, 17:30",71,42,1%,0%,40%,48%,54%,42%,38%,28%,3,0
Cerrad Enea Czarni Radom,Ślepsk Malow Suwałki,"10.02.2023, 20:30",50,55,-18%,3%,42%,28%,51%,59%,34%,48%,0,3
PGE Skra Bełchatów,Cuprum Lubin,"12.02.2023, 17:30",79,80,-6%,-11%,41%,37%,59%,51%,40%,36%,2,3
PGE Skra Bełchatów,GKS Katowice,"20.02.2023, 20:30",70,87,-8%,-9%,53%,43%,47%,49%,28%,33%,2,3
Cuprum Lubin,Cerrad Enea Czarni Radom,"18.02.2023, 17:30",72,61,-9%,-16%,49%,40%,53%,43%,33%,30%,3,2
Ślepsk Malow Suwałki,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"21.03.2023, 17:30",67,75,-4%,-3%,46%,52%,49%,54%,32%,45%,1,3
Barkom Każany Lwów,Jastrzębski Węgiel,"18.02.2023, 20:30",31,51,-21%,-4%,38%,48%,35%,66%,12%,51%,0,3
Projekt Warszawa,Indykpol AZS Olsztyn,"19.02.2023, 17:30",67,59,-4%,-12%,47%,42%,61%,47%,49%,32%,3,1
Asseco Resovia Rzeszów,LUK  Lublin,"18.02.2023, 14:45",76,57,-10%,-14%,47%,34%,57%,51%,43%,35%,3,1
Trefl Gdańsk,Aluron CMC Warta Zawiercie,"19.02.2023, 14:45",60,66,-17%,-7%,45%,39%,44%,50%,26%,39%,1,3
BBTS Bielsko-Biała,PSG Stal Nysa,"17.02.2023, 20:30",35,61,-10%,0%,53%,34%,43%,64%,23%,52%,0,3
GKS Katowice,PSG Stal Nysa,"06.03.2023, 20:30",56,37,6%,-15%,40%,40%,53%,41%,43%,29%,3,0
BBTS Bielsko-Biała,Trefl Gdańsk,"02.03.2023, 17:30",56,77,1%,-2%,38%,49%,45%,55%,26%,38%,1,3
Aluron CMC Warta Zawiercie,Asseco Resovia Rzeszów,"04.03.2023, 14:45",50,40,-2%,-25%,52%,40%,50%,42%,30%,26%,3,0
LUK  Lublin,Projekt Warszawa,"05.03.2023, 14:45",51,71,-8%,-10%,53%,52%,38%,55%,14%,42%,1,3
Indykpol AZS Olsztyn,Barkom Każany Lwów,"03.03.2023, 17:30",55,36,-4%,-10%,45%,28%,54%,37%,40%,14%,3,0
Jastrzębski Węgiel,Ślepsk Malow Suwałki,"04.03.2023, 17:30",74,51,-2%,-7%,40%,34%,75%,53%,68%,33%,3,1
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Cuprum Lubin,"04.03.2023, 20:30",63,63,-3%,-15%,32%,51%,51%,50%,38%,29%,3,1
Cerrad Enea Czarni Radom,PGE Skra Bełchatów,"05.03.2023, 17:30",62,61,-4%,0%,42%,32%,41%,45%,17%,25%,1,3
Cerrad Enea Czarni Radom,GKS Katowice,"11.03.2023, 20:30",44,59,-14%,0%,48%,40%,50%,63%,37%,55%,0,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,PGE Skra Bełchatów,"12.03.2023, 14:45",40,54,-16%,-9%,43%,39%,46%,51%,25%,41%,0,3
Cuprum Lubin,Jastrzębski Węgiel,"11.03.2023, 17:30",53,61,-11%,-8%,45%,45%,45%,54%,25%,33%,0,3
Ślepsk Malow Suwałki,Indykpol AZS Olsztyn,"10.03.2023, 20:30",48,55,-4%,-4%,32%,43%,46%,47%,25%,36%,0,3
Barkom Każany Lwów,LUK  Lublin,"13.03.2023, 17:30",51,41,-10%,-14%,49%,45%,49%,42%,32%,17%,3,0
Projekt Warszawa,Aluron CMC Warta Zawiercie,"11.03.2023, 14:45",90,87,-13%,-11%,46%,56%,49%,43%,40%,26%,3,2
Asseco Resovia Rzeszów,BBTS Bielsko-Biała,"13.03.2023, 20:30",60,42,-3%,-6%,40%,27%,56%,40%,41%,23%,3,0
Trefl Gdańsk,PSG Stal Nysa,"12.03.2023, 17:30",48,35,-8%,-15%,47%,32%,69%,48%,66%,30%,3,0
GKS Katowice,Trefl Gdańsk,"16.03.2023, 17:30",44,54,-18%,-1%,44%,58%,49%,52%,32%,39%,0,3
PSG Stal Nysa,Asseco Resovia Rzeszów,"17.03.2023, 17:30",65,74,-6%,3%,28%,35%,43%,55%,29%,41%,1,3
BBTS Bielsko-Biała,Projekt Warszawa,"20.03.2023, 17:30",49,65,-11%,-5%,38%,50%,42%,52%,21%,37%,1,3
Aluron CMC Warta Zawiercie,Barkom Każany Lwów,"18.03.2023, 20:30",64,53,8%,-14%,54%,29%,56%,44%,37%,24%,3,1
LUK  Lublin,Ślepsk Malow Suwałki,"18.03.2023, 14:45",72,72,0%,-14%,40%,36%,56%,54%,45%,42%,3,1
Cuprum Lubin,Indykpol AZS Olsztyn,"20.03.2023, 20:30",78,76,-13%,-6%,41%,45%,47%,49%,32%,38%,2,3
Jastrzębski Węgiel,PGE Skra Bełchatów,"19.03.2023, 20:30",81,76,-10%,0%,53%,42%,56%,51%,45%,33%,2,3
Cerrad Enea Czarni Radom,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"19.03.2023, 17:30",63,70,-8%,-3%,55%,39%,43%,51%,27%,38%,1,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,GKS Katowice,"26.03.2023, 17:30",57,34,2%,-18%,53%,45%,52%,35%,35%,14%,3,0
Cerrad Enea Czarni Radom,Jastrzębski Węgiel,"25.03.2023, 17:30",39,50,-20%,2%,39%,37%,49%,58%,29%,48%,0,3
PGE Skra Bełchatów,Indykpol AZS Olsztyn,"27.03.2023, 20:30",40,60,-12%,-4%,33%,30%,59%,58%,45%,50%,0,3
Cuprum Lubin,LUK  Lublin,"25.03.2023, 20:30",73,75,-5%,5%,44%,44%,49%,50%,31%,37%,1,3
Ślepsk Malow Suwałki,Aluron CMC Warta Zawiercie,"25.03.2023, 14:45",52,78,-8%,-8%,61%,53%,49%,59%,35%,51%,1,3
Barkom Każany Lwów,BBTS Bielsko-Biała,"23.03.2023, 20:30",58,52,-7%,-17%,38%,32%,47%,50%,32%,31%,3,1
Projekt Warszawa,PSG Stal Nysa,"26.03.2023, 20:30",77,68,2%,-10%,46%,26%,53%,55%,35%,36%,3,2
Asseco Resovia Rzeszów,Trefl Gdańsk,"26.03.2023, 14:45",75,67,-7%,-14%,42%,40%,52%,47%,42%,33%,3,1
GKS Katowice,Asseco Resovia Rzeszów,"31.03.2023, 20:30",42,50,-24%,-8%,40%,52%,49%,59%,35%,48%,0,3
Trefl Gdańsk,Projekt Warszawa,"02.04.2023, 18:00",79,76,-6%,-6%,40%,38%,50%,53%,37%,40%,3,2
PSG Stal Nysa,Barkom Każany Lwów,"24.02.2023, 20:30",59,46,-2%,-1%,28%,34%,52%,50%,42%,31%,3,0
BBTS Bielsko-Biała,Ślepsk Malow Suwałki,"03.04.2023, 17:30",33,44,-23%,-1%,40%,55%,50%,61%,25%,52%,0,3
Aluron CMC Warta Zawiercie,Cuprum Lubin,"31.03.2023, 17:30",72,77,-2%,-17%,52%,53%,58%,56%,45%,40%,3,2
LUK  Lublin,PGE Skra Bełchatów,"03.04.2023, 20:30",51,45,2%,-18%,52%,46%,47%,50%,32%,28%,3,0
Indykpol AZS Olsztyn,Cerrad Enea Czarni Radom,"02.04.2023, 20:30",71,58,4%,-12%,48%,42%,54%,48%,45%,32%,3,1
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Jastrzębski Węgiel,"01.04.2023, 20:30",67,62,-12%,-16%,55%,47%,47%,45%,33%,29%,3,1
